# File: Eurostat_sector_fuel_modifications.csv
# Title: Mapping sectors and fuels
# Units: n/a
# Column types: cccci
# ----------
sector_initial,fuel_initial,sector,fuel,calculate_net
in_electricity generation,electricity,,,
in_electricity generation,heat,,,
in_heat,heat,,,
in_industry_chp,electricity,,,
in_industry_chp,heat,,,
out_industry_ctl,refined liquids,out_industry_ctl,coal,1
in_industry_energy distribution,gas,net_gas pipeline,gas,0
in_industry_energy distribution,electricity,net_electricity distribution,electricity,0
in_industry_feedstocks,biomass,,,
in_industry_gtl,refined liquids,in_industry_gtl,gas,1
out_industry_gtl,refined liquids,out_industry_gtl,gas,1
in_industry_ownuse,electricity,net_electricity ownuse,electricity,0
net_industry_ownuse,electricity,net_electricity ownuse,electricity,0
in_industry_pipeline,gas,net_gas pipeline,gas,0
in_trn_road,biomass,in_trn_road,refined biofuels_ethanol,0
net_industry_oil refining,refined liquids,net_oil refining,refined liquids,0
net_industry_oil refining,electricity,net_oil refining,electricity,0
net_industry_oil refining,gas,net_oil refining,gas,0
