# File: A44.globaltech_interp_EUR,,,,,,
# Title: electricity and heat pump technology interpolation,,,,,,
# Units: N/A,,,,,,
# Description: characteristics of interpolation functions for techs that may have calibrated values in subsectors with multiple calibrated technologies,,,,,,
# Column types: ccccccc ,,,,,,
# ----------,,,,,,
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
resid heating modern EUR,electricity,resistance,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,electricity,air-air pump south,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,electricity,air-air pump middle south,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,electricity,air-air pump middle north,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,electricity,air-air pump north,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,air-water pump south,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,air-water pump middle south,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,air-water pump middle north,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,air-water pump north,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,geo-water pump,share-weight,final-calibration-year,end-year,linear
resid heating modern EUR,water heat pump,solar thermal,share-weight,final-calibration-year,end-year,linear
