# File: GTAP_region_mapping.csv
# Title: GTAP141 to GCAM region names
# Units: NA
# Description: Maps GCAM region to GTAP regions
# Column types: ccc
# ----------
GTAPv10_region,GTAP_Long_Name,GCAM_region
aus,Australia,Australia_NZ
nzl,New Zealand,Australia_NZ
xoc,Rest of Oceania,Southeast Asia
chn,China,China
hkg,Hong Kong,China
jpn,Japan,Japan
kor,Korea,South Korea
mng,Mongolia,Central Asia
twn,Taiwan,Taiwan
xea,Rest of East Asia,Central Asia
brn,Brunei Darussalam,Southeast Asia
khm,Cambodia,Southeast Asia
idn,Indonesia,Indonesia
lao,Lao People's Democratic Republ,Southeast Asia
mys,Malaysia,Southeast Asia
phl,Philippines,Southeast Asia
sgp,Singapore,Southeast Asia
tha,Thailand,Southeast Asia
vnm,Viet Nam,Southeast Asia
xse,Rest of Southeast Asia,Southeast Asia
bgd,Bangladesh,South Asia
ind,India,India
npl,Nepal,South Asia
pak,Pakistan,Pakistan
lka,Sri Lanka,South Asia
xsa,Rest of South Asia,South Asia
can,Canada,Canada
usa,United States of America,USA
mex,Mexico,Mexico
xna,Rest of North America,Central America and Caribbean
arg,Argentina,Argentina
bol,Bolivia,South America_Southern
bra,Brazil,Brazil
chl,Chile,South America_Southern
col,Colombia,Colombia
ecu,Ecuador,South America_Southern
pry,Paraguay,South America_Southern
per,Peru,South America_Southern
ury,Uruguay,South America_Southern
ven,Venezuela,South America_Northern
xsm,Rest of South America,South America_Northern
cri,Costa Rica,Central America and Caribbean
gtm,Guatemala,Central America and Caribbean
hnd,Honduras,Central America and Caribbean
nic,Nicaragua,Central America and Caribbean
pan,Panama,Central America and Caribbean
slv,El Salvador,Central America and Caribbean
xca,Rest of Central America,Central America and Caribbean
dom,Dominican Republic,Central America and Caribbean
jam,Jamaica,Central America and Caribbean
pri,Puerto Rico,USA
tto,Trinidad and Tobago,Central America and Caribbean
xcb,Caribbean,Central America and Caribbean
aut,Austria,Austria
bel,Belgium,Belgium
bgr,Bulgaria,Bulgaria
hrv,Croatia,Croatia
cyp,Cyprus,Cyprus
cze,Czech Republic,Czech Republic
dnk,Denmark,Denmark
est,Estonia,Estonia
fin,Finland,Finland
fra,France,France
deu,Germany,Germany
grc,Greece,Greece
hun,Hungary,Hungary
irl,Ireland,Ireland
ita,Italy,Italy
lva,Latvia,Latvia
ltu,Lithuania,Lithuania
lux,Luxembourg,Luxembourg
mlt,Malta,Malta
nld,Netherlands,Netherlands
pol,Poland,Poland
prt,Portugal,Portugal
rou,Romania,Romania
svk,Slovakia,Slovakia
svn,Slovenia,Slovenia
esp,Spain,Spain
swe,Sweden,Sweden
gbr,United Kingdom,UK
che,Switzerland,Switzerland
nor,Norway,Norway
xef,Rest of EFTA,Iceland
alb,Albania,Albania
blr,Belarus,Belarus
rus,Russian Federation,Russia
ukr,Ukraine,Ukraine
xee,Rest of Eastern Europe,Moldova
xer,Rest of Europe,Bosnia and Herzegovina
xer,Rest of Europe,North Macedonia
xer,Rest of Europe,Macedonia
xer,Rest of Europe,Serbia and Montenegro
kaz,Kazakhstan,Central Asia
kgz,Kyrgyzstan,Central Asia
tjk,Tajikistan,Central Asia
xsu,Rest of Former Soviet Union,Central Asia
arm,Armenia,Central Asia
aze,Azerbaijan,Central Asia
geo,Georgia,Central Asia
bhr,Bahrain,Middle East
irn,Iran Islamic Republic of,Middle East
isr,Israel,Middle East
jor,Jordan,Middle East
kwt,Kuwait,Middle East
omn,Oman,Middle East
qat,Qatar,Middle East
sau,Saudi Arabia,Middle East
tur,Turkey,Turkey
are,United Arab Emirates,Middle East
xws,Rest of Western Asia,Middle East
egy,Egypt,Africa_Northern
mar,Morocco,Africa_Northern
tun,Tunisia,Africa_Northern
xnf,Rest of North Africa,Africa_Northern
ben,Benin,Africa_Western
bfa,Burkina Faso,Africa_Western
cmr,Cameroon,Africa_Western
civ,Cote d'Ivoire,Africa_Western
gha,Ghana,Africa_Western
gin,Guinea,Africa_Western
nga,Nigeria,Africa_Western
sen,Senegal,Africa_Western
tgo,Togo,Africa_Western
xwf,Rest of Western Africa,Africa_Western
xcf,Central Africa,Africa_Western
xac,South Central Africa,Africa_Southern
eth,Ethiopia,Africa_Eastern
ken,Kenya,Africa_Eastern
mdg,Madagascar,Africa_Eastern
mwi,Malawi,Africa_Southern
mus,Mauritius,Africa_Eastern
moz,Mozambique,Africa_Southern
rwa,Rwanda,Africa_Eastern
tza,Tanzania,Africa_Southern
uga,Uganda,Africa_Eastern
zmb,Zambia,Africa_Southern
zwe,Zimbabwe,Africa_Southern
xec,Rest of Eastern Africa,Africa_Eastern
bwa,Botswana,Africa_Southern
nam,Namibia,Africa_Southern
zaf,South Africa,South Africa
xsc,Rest of South African Customs ,Africa_Southern
xtw,Rest of the World,Africa_Southern
